name,rating,reviews,ownership,degree
"COEP Pune - COEP Technological University, Pune",4.3/5,59 Reviews,Public/Government,B.E /B.Tech (10 Courses) Fees :  ₹3.39 Lakhs  - ₹3.46 Lakhs
"VJTI Mumbai - Veermata Jijabai Technological Institute, Mumbai",4.3/5,78 Reviews,Public/Government,B.E /B.Tech (10 Courses) Fees :  ₹3.30 Lakhs
"MIT-WPU Pune - Dr Vishwanath Karad MIT World Peace University, Pune",4.2/5,25 Reviews,Private,B.E /B.Tech (35 Courses) Fees :  ₹4.80 Lakhs  - ₹13 Lakhs
"RAIT Navi Mumbai - Ramrao Adik Institute of Technology, Navi Mumbai",4.2/5,77 Reviews,Private,B.E /B.Tech (9 Courses) Fees :  ₹4.85 Lakhs  - ₹18 Lakhs
"VIT Pune - Vishwakarma Institute of Technology, Pune",4.5/5,73 Reviews,Private,B.E /B.Tech (9 Courses) Fees :  ₹7.37 Lakhs  - ₹7.68 Lakhs
"GHRCE Nagpur - GH Raisoni College of Engineering, Nagpur",4.5/5,73 Reviews,Private,B.E /B.Tech (22 Courses) Fees :  ₹4.58 Lakhs  - ₹6.43 Lakhs
"RCOEM Nagpur - Shri Ramdeobaba College of Engineering and Management, Nagpur",4.7/5,76 Reviews,Private,B.E /B.Tech (13 Courses) Fees :  ₹6.00 Lakhs  - ₹6.42 Lakhs
"SNDT Womens University, Mumbai",4.7/5,7 Reviews,Public/Government,B.E /B.Tech (6 Courses) Fees :  ₹4.68 Lakhs
"Atharva College of Engineering, Malad",4.2/5,21 Reviews,Private,B.E /B.Tech (5 Courses) Fees :  ₹3.56 Lakhs  - ₹5.35 Lakhs
"Gharda Institute of Technology, Ratnagiri",4.2/5,No review,Private,B.E /B.Tech (6 Courses) Fees :  ₹3.97 Lakhs  - ₹4.81 Lakhs
"Annasaheb Dange College of Engineering and Technology, Sangli",4.2/5,5 Reviews,Private,B.E /B.Tech (11 Courses) Fees :  ₹3.16 Lakhs  - ₹4.28 Lakhs
"Bharati Vidyapeeth College of Engineering, Navi Mumbai",4.2/5,23 Reviews,Private,B.E /B.Tech (6 Courses) Fees :  ₹4.47 Lakhs
"FAMT Ratnagiri - Finolex Academy of Management and Technology, Ratnagiri",4.2/5,5 Reviews,Private,B.E /B.Tech (6 Courses) Fees :  ₹3.49 Lakhs
